center	strong	MOSCOW, July 9. /TASS/. Inflation in Russia geared up from 0.07% a week earlier to 0.79% from July 1 to 7, 2025, the Russian federal statistical service (Rosstat) said. Since the beginning of July, consumer prices in Russia have grown by 0.79%, since the beginning of the year they increased by 4.58%. Inflation stood at 10.002% in annual terms as of July 7, 2025 (according to calculations using average daily data for the current and last year on similar dates).	The article presents factual data on inflation rates without expressing a clear opinion or bias. It simply reports on economic indicators, providing specific numbers and trends, which is characteristic of a neutral or center stance in political bias analysis.
center	strong	MOSCOW, July 9. /TASS/. The Bank of Russia set the official dollar exchange rate for July 10, 2025 at 78.1727 rubles, which is the same as the previous figure. The official euro exchange rate was lowered by 55 kopecks to 91.4175 rubles. At the same time, the official yuan exchange rate was lowered by 1 kopeck to 10.8494 rubles.	The article reports on the Bank of Russia's official exchange rates for the dollar, euro, and yuan, without expressing any opinion or bias. The language used is neutral and objective, simply stating the facts of the exchange rates and their changes. There is no emotional tone or advocacy for any particular viewpoint, which is characteristic of a centrist approach.
center	strong	MOSCOW, July 9. /TASS/. The Kazakh region where an anthrax outbreak has been reported does not border Russia, so the risk of an epidemic spreading is ruled out, the Russian healthcare watchdog said in a statement. "According to the available information, a lockdown was imposed in two villages in the Atbasarsky District in the Akmola Region of Kazakhstan due to an anthrax outbreak, as ten anthrax cases had been recorded there among cattle and seven cases among humans.  Kazakhstan’s Akmola Region does not border the Russian Federation, so there is no danger of the epidemic spreading here," the statement reads. The watchdog’s experts continuously monitor the epidemiological situation across the world. "In order to prevent the entry of dangerous infectious diseases into Russia, sanitary and quarantine measures are taken at all border crossing points, which involve the use of the Perimeter automated information system that makes it possible to assess the situation in real-time and reduce the risk that the epidemic situation in our country will worsen," the statement added.	The article presents factual information about an anthrax outbreak in Kazakhstan and Russia's measures to prevent its spread, without taking a stance or showing bias. The language used is neutral and objective, focusing on the situation and actions being taken, which aligns with a centrist approach.
center	strong	MOSCOW, July 9. /TASS/. The investment program of Russia’s power generation company Rushydro through 2029 amounts to 1.13 trillion rubles ($14.47 bln), the company’s CEO Viktor Khmarin said during a meeting with Russian President Vladimir Putin. "When it comes to our investment program through 2029, its current financial volume stands at about 1.13 trillion rubles. We plan to commission some 3.3 gigawatts of new capacity by 2029," he said. Khmarin specified that 80% of this investment program is being implemented in the Russian Far East. "We are continuing work on eight major construction projects, including modernization efforts, two coal-fired plants, Yakutskaya and Partizanskaya, and four gas-fired plants in the Far East," he explained. At the end of March, Rushydro unveiled its investment program for 2025-2029. The plan includes commissioning 3.3 GW of electric capacity and more than 2,500 Gcal/h of thermal capacity. The group also intends to build and upgrade 109 km of heating networks and approximately 5,300 km of electric transmission lines. Rushydro is the largest Russian energy company by installed capacity, operating more than 600 power generation assets. The total installed capacity of the company’s power plants stands at 38.4 GW. The largest shareholders of Rushydro are the Russian Federation (62.2%), VTB Bank (12.37%), and the En+ holding (9.61%).	The article presents factual information about Russia's energy sector, focusing on the investment plans of Rushydro, a major energy company. The language used is neutral and objective, providing details about the company's investment program, its projects, and its goals without expressing a clear opinion or bias. The text maintains a professional tone, typical of news reporting, and does not advocate for or against any particular viewpoint.
center	strong	Published Jul 10, 2025, 09:52 PM Updated Jul 10, 2025, 10:17 PM MOSCOW - Russian air defences downed three Ukrainian drones bound for Moscow on Thursday, said the city's mayor, Sergei Sobyanin. The Russian Defence Ministry also said 14 drones had been shot down over the Bryansk region and a further 8 over the Belgorod region between 15:00 (1200 GMT) and 16:30. Both regions border Ukraine. could not independently verify the battlefield reports. Separately, Russia's aviation authority Rosaviatsia said it had temporarily halted all flights in and out of the airport in Kaluga, a city some 200 km (125 miles) southwest of Moscow.	The article presents a factual report on the events involving Russian air defenses and drone attacks without taking a clear stance or showing bias towards either side. It provides information from both Russian sources and mentions the inability to independently verify battlefield reports, maintaining a neutral tone.
center	strong	MOSCOW, July 11. /TASS/. Global oil demand in 2025 will grow by only 700,000 barrels per day, which will be the lowest figure since 2009, excluding the COVID-19 year of 2020, according to the July report of the International Energy Agency (IEA). The agency downgraded its forecast for this year by 20,000 bpd. The IEA stressed that the forecast for this year has been reduced due to lower-than-expected supply volumes to the market in the second quarter amid a significant decline in oil demand, especially in developing countries. The forecast for 2026 has also been reduced by 20,000 bpd – to 720,000 bpd. World crude oil inventories jumped 73.9 mln barrels in May to 7.818 bln barrels, according to the IEA. Commercial oil stocks in the Organization for Economic Cooperation and Development (OECD) countries increased by 44.5 mln, but were 54 mln barrels below the level of the previous year. Preliminary data for June also showed that global oil inventories continued to grow, mainly in non-OECD countries.	The article presents factual information about oil demand and supply forecasts from the International Energy Agency (IEA) without expressing a clear opinion or bias. The language used is objective, focusing on data and trends in the energy market, which is typical of center or neutral reporting. There is no emotional appeal or advocacy for a specific viewpoint, aligning with the characteristics of a centrist approach.
center	strong	MOSCOW, July 11. /TASS/. OPEC+ countries participating in the agreement to reduce oil production increased output by 1.2 mln barrels per day (bpd) in June 2025 and exceeded the plan, taking into account voluntary restrictions and compensations, by 1.82 mln bpd, according to the July report by the International Energy Agency (IEA). According to the IEA, the target production level of OPEC+ countries under the deal, taking into account voluntary reductions and compensations for overproduction, was 34.39 mln bpd in June, and real production reached 36.21 mln bpd. Thus, the volume of excess of the plan was at the level of about 1.82 mln bpd. According to the IEA, in June, Saudi Arabia increased its oil production the most - by 710,000 bpd. The highest overproduction in June was recorded in Kazakhstan (500,000 bpd above plan), Saudi Arabia (430,000 bpd above plan), Iraq (330,000 bpd above plan), the UAE (330,000 bpd above plan) and Kuwait (310,000 bpd above plan).	The article presents factual information about OPEC+ countries exceeding their oil production targets, without taking a clear stance or showing bias towards any particular group. The language used is neutral and objective, focusing on data and statistics rather than advocating for a specific viewpoint.
center	strong	MOSCOW, July 11. /TASS/. The Russian stock market opened with a decline at the start of the main trading session, according to data from the Moscow Exchange. As of 10:00 a.m. Moscow time, the MOEX Index was down 1.46% to 2,692.66 points, while the RTS Index also declined by 1.46% to 1,088.85 points. At the same time, the exchange rate of the Chinese yuan against the ruble rose by 1.45 kopecks from the previous session’s close to 10.834 rubles. By 10:20 a.m. Moscow time, the MOEX Index had trimmed its losses, trading at 2,700.94 points, down 1.15%, while the RTS Index stood at 1,092.24 points, also down 1.15%. The yuan’s growth had also slightly slowed, with the exchange rate at 10.822 rubles, up 0.25 kopecks. Since June 13, 2024, the Moscow Exchange has suspended trading in US dollars and euros following US sanctions imposed on the exchange and the National Clearing Center. To determine the official exchange rates of the US dollar and euro against the ruble, the Bank of Russia now uses data from bank reports and over-the-counter trading.	The article presents factual information about the Russian stock market's performance, including specific data on index changes and exchange rates. The neutral tone and focus on verifiable data points indicate a lack of bias, characteristic of center or objective reporting. There is no emotive language or apparent agenda to sway the reader in a particular political or ideological direction.
center	strong	MOSCOW, July 11. /TASS/. The price of bitcoin continues to set new all-time highs, with the cryptocurrency surpassing the $118,000 mark, according to data from the Binance platform. As of 8:44 a.m. Moscow time, the cryptocurrency broke through the $118,000 threshold, reaching a record $118,090, reflecting a 6.43% increase. By 8:58 a.m. Moscow time, bitcoin’s growth had somewhat slowed, with its price standing at $117,812, representing a 6.05% gain. On July 9, after trading in a range of $100,000 to $110,000 for a month and a half, bitcoin rose to $111,999, setting a new historical high. The last time bitcoin established an all-time high was on May 22, 2025, when the price climbed to $111,980. Bitcoin is a decentralized system based on blockchain technology that supports the eponymous cryptocurrency, which can be "mined" by any user participating in the network. This process involves creating new blocks within the system.	The article provides a factual report on the price of bitcoin, setting a new all-time high, with specific numbers and percentages. It maintains a neutral tone, focusing solely on the data and recent events without expressing any opinion or bias. The language used is objective and informative, typical of a center or factual reporting style.
center	strong	MOSCOW, July 11. /TASS/. The Moscow Exchange index with the ticker symbol IMOEX2 slid by 0.24% to 2,726 points at 7:00 a.m., data from the exchange showed. The index fell further by 7:10 a.m., reaching at 2,724.65 points, or down 0.29% from a day earlier. The exchange resumed morning trading from January 27.	The article presents factual information about the Moscow Exchange index without expressing a clear opinion or bias. It reports on the index's performance using objective data, such as numbers and percentages, and does not include emotive language or subjective interpretations. This approach is characteristic of a centrist or neutral reporting style.
